-4.12	-0.41	0.45	0.18	1
-1.72	-0.16	-0.67	-0.2	1
-2.97	-0.36	-0.8	0.56	1
-0.75	0.78	-1.1	0.41	1
-1.06	0.66	0.29	0.32	1
-0.4	0.51	-0.19	-0.1	1
1.03	-0.04	-0.76	0.3	1
-2.33	0.11	-1.19	0.19	1
-2.19	1.19	-0.78	0.09	1
1.42	0.35	-0.35	-0.15	1
-0.4	2.09	-0.17	0	1
-2.16	1.16	-0.42	0.15	1
0.79	-2.09	1.11	0	1
0.05	0.01	1.06	-0.44	1
-0.14	1.78	0.9	-0.32	1
0.05	0.07	1.01	0.94	1
2.46	0.26	1.02	-0.54	1
1.99	1.36	0.52	-0.37	1
2.42	1.12	0.78	0.84	1
1.14	0.91	0.86	1.18	1
2.12	-0.51	0.67	0.54	1
2.51	-0.29	1.58	0.4	1
4.69	-0.07	1.71	-0.31	1
1.29	-0.19	1.04	0.85	1
0.9	1.11	1.76	0.51	1
-4.15	0.32	-1.03	0.93	1
-2.7	-0.15	0.19	0.19	1
-2.11	0.53	-2.19	0.88	1
-1.51	-0.23	-1.54	0.79	1
0.09	-0.03	-1.24	0.29	1
0.5	0.67	-0.04	0.7	1
-4.24	-0.89	-2.42	0.09	1
-2.5	0.02	-0.01	0.94	1
-0.6	-1.6	-1.42	0.39	1
1.06	0.48	-0.44	0.16	1
-1.5	1.18	-0.11	0.38	1
-3.87	-0.33	-1.36	0.33	1
-3.03	-0.87	-2.03	-0.55	1
-2.31	-0.13	-1.13	-0.37	1
1.44	-2.32	-0.39	-0.58	1
-2.49	-0.47	-1.3	0.3	1
1.67	0.85	0.3	0.11	1
1.24	1.48	-0.45	0.79	1
-1.61	2.51	0.18	0.1	1
-1.23	0.16	-1.05	-0.27	1
1.57	0.09	-1.09	0.34	1
-0.22	0.68	-3.82	1.02	1
-0.24	1.47	0.56	0.26	1
-3.96	0.41	-0.04	-0.28	1
0.48	0.23	-0.27	-0.01	1
-4.29	-0.24	-1.03	0.17	1
-0.66	-0.17	-1.02	0.17	1
-3.06	-0.13	-0.31	-0.47	1
-0.33	0.74	0.25	-0.23	1
-2.59	0.98	-0.54	0.76	1
1	0.53	-0.69	-0.06	1
-1.35	-0.2	-0.05	0.11	1
-0.1	0.43	-1	0.71	1
-3.27	-0.73	0.5	-0.96	1
-2.64	0.09	-0.83	0.36	1
-1.67	0.74	-0.73	-0.38	1
-0.7	0.93	-0.04	0.27	1
0.23	-0.04	-0.42	-0.51	1
-2.24	1.13	0.37	0.71	1
0.41	0.31	-0.15	-0.08	1
-0.45	-0.45	-1.5	0.63	1
-1.14	-0.59	-2.64	0.18	1
0.39	-0.81	-0.48	0.88	1
-0.65	0.95	-0.41	0.18	1
-0.44	-0.71	-1.91	0.43	1
-1.08	0.46	-0.73	0.25	1
-0.86	1.08	0.24	0.1	1
-2.67	0.98	-0.32	-0.3	1
0.42	0.82	-0.79	0.27	1
-0.88	0.94	1.36	-0.61	1
-0.25	1.18	-0.24	0.26	1
-0.72	0.67	-0.83	0.61	1
-1.84	0.62	0.14	-0.61	1
-0.97	0.33	0.18	-0.04	1
-5.88	0.45	-0.65	-0.06	1
-4.39	-0.04	-0.95	0.01	1
-3.44	0.25	-0.96	-0.06	1
-5.07	1.43	-0.43	0.11	1
-3.14	1.05	-1.47	-0.24	1
-4.37	0.47	-1.41	0.05	1
-4.13	0.61	-1.74	0.23	1
-3.65	0.67	-1.19	0.16	1
-3.64	1.49	-1.81	-1	1
-3.81	1.04	-1.11	-0.13	1
-2.26	0.44	-1.66	0.39	1
0.45	1.87	-0.21	0.47	1
0.05	-0.08	-2.41	0.95	1
-1.79	1.49	0.66	0.68	1
-1.76	1.37	1.06	0.75	1
-2.45	1.43	0.82	0.66	1
-0.46	0.62	0.14	0.92	1
0.21	-0.2	-0.05	0.91	1
-0.23	0.54	0.11	0.94	1
-0.47	1.03	-0.19	1.2	1
-1.01	0.29	0.28	0.16	1
-0.63	0.31	-1.76	0.02	1
-0.6	0.59	-1.86	-0.07	1
-1.23	-1.85	-1.54	0.1	1
0.3	0.34	-0.2	0.58	1
0.47	-1.02	0.7	-0.62	2
0.72	-1.01	1.57	-0.24	2
1.8	-0.65	0.47	-0.75	2
0.44	-0.74	1.17	0.11	2
1.07	-0.73	0.38	-0.45	2
1.56	-1.23	0.18	-1.27	2
1.58	-1.07	0.17	-0.16	2
1.45	-0.51	0.05	0.22	2
2.16	-0.28	-0.24	-0.25	2
2.38	-0.16	-0.1	-0.55	2
1.93	-0.41	-0.36	-0.14	2
1.96	-1.02	0.06	-0.77	2
2.14	2.47	0.37	-0.27	2
2.03	1.65	0.47	-1.28	2
0.95	1.8	1.02	-0.85	2
2.03	1.74	0.46	-1.74	2
2.95	0.97	0.15	0.42	2
3.86	1.8	0.32	-1.03	2
1.29	2.12	0.76	-1.32	2
2.58	2.41	0.67	-0.72	2
1.15	-0.22	0.63	0.09	2
1.26	-0.22	-0.27	-0.31	2
1.13	-0.67	0.9	0.08	2
0.9	-0.79	0.14	-0.55	2
1.71	-1.59	-0.36	0.03	2
1.01	-0.32	0.59	0	2
0.83	0.02	0.91	-0.34	2
0.56	-0.62	1.18	-0.1	2
