173	2887	10	4169	10	675	10	1633	3756	1470	83	10	116	10	26	10	10	343	10	383	81	16000	56	10	603	1138	60	10	10	97	189	380	78	59	10	45	318	10	10	106	10	10	10	183	226	30	10	179	227	10	245	96	10	133	104	10	10	1267	10	10	1
10	10	10	95	10	10	10	353	10	256	10	10	118	10	10	476	179	64	30	654	54	93	10	10	10	63	10	10	10	62	10	10	194	310	9882	70	612	10	10	10	387	10	10	113	899	10	203	184	566	10	895	3152	10	10	112	10	10	147	118	413	1
33	1668	20	214	10	10	32	10	10	82	123	266	135	330	125	548	73	1660	697	387	50	10	105	12	10	3187	19	455	174	295	48	1078	287	1570	1451	10	2128	10	10	490	10	10	10	47	7540	72	10	10	247	10	1698	145	249	51	127	381	60	677	13	61	1
46	1092	94	64	10	10	10	311	275	1352	217	1207	271	1199	10	7537	29	1191	235	359	45	1899	10	288	10	4910	10	152	45	222	10	222	197	466	375	53	229	10	27	10	10	10	10	10	10	10	10	154	126	10	43	306	133	10	30	244	52	82	148	52	1
10	628	66	81	72	10	24	120	30	91	75	1210	72	2129	10	1191	10	10	984	246	11	314	10	689	48	267	10	294	183	10	475	1644	10	222	400	25	2352	10	10	797	10	28	62	13	172	84	99	10	337	10	324	2023	164	23	10	71	61	137	116	391	1
142	319	198	200	10	109	10	12	180	268	10	723	103	1667	10	1621	52	395	926	166	90	123	154	231	10	820	10	161	173	170	156	1245	10	432	4141	10	2316	10	10	10	62	10	217	42	12963	17	10	51	265	352	10145	689	10	44	18	107	10	696	10	455	1
10	329	100	192	169	10	10	11	10	142	10	722	50	2007	76	475	140	10	1746	488	10	138	62	208	2474	10	363	153	146	10	218	8177	10	644	3755	11	10	10	10	230	18	10	280	51	3931	296	196	101	10	708	3037	3203	150	16	224	10	128	338	210	270	1
131	89	26	106	27	10	10	10	52	31	10	2510	117	2343	10	351	10	542	1143	208	10	194	75	301	10	3720	72	149	115	233	10	1504	10	270	7344	10	2032	10	10	10	10	10	243	10	6773	31	10	98	245	10	6392	10	10	10	10	10	19	339	53	300	1
10	135	74	118	222	10	10	166	10	10	113	2337	153	3201	10	522	30	26	663	432	64	10	10	365	729	120	288	199	134	87	10	1931	10	262	2728	10	123	10	60	10	89	71	261	10	167	67	10	130	10	10	4163	1187	141	10	113	62	10	247	10	34	1
10	906	21	156	10	10	10	10	10	80	96	1062	93	10	30	970	267	10	930	62	232	1263	74	142	10	10	10	10	440	140	10	1629	287	23	1191	164	16	40	10	10	292	24	318	10	106	120	158	113	741	10	345	3060	10	39	278	193	10	10	728	219	1
31	991	10	10	136	10	10	77	245	12	83	1642	180	1830	10	451	10	10	467	63	68	308	13	262	10	238	31	215	166	10	35	144	99	1086	1876	110	232	10	10	10	10	24	237	28	337	43	10	101	427	10	1964	10	10	10	45	10	10	10	308	419	1
210	265	104	82	10	100	10	36	23	71	38	993	58	1128	36	393	32	10	706	10	187	62	10	143	10	263	399	391	338	106	380	727	814	661	806	93	3267	290	10	10	10	10	10	24	10	112	83	10	388	189	2018	10	298	10	10	31	504	1417	559	306	1
115	1367	93	198	10	10	10	78	11	121	115	1870	37	1088	10	230	10	41	100	199	35	64	50	140	10	2044	100	335	93	68	650	3680	10	351	509	10	3124	10	64	543	128	10	221	10	28	48	10	10	304	10	635	4431	10	10	10	10	73	512	146	41	1
662	2331	665	224	116	16000	418	16000	111	1279	117	637	275	545	10	659	10	15	10	65	119	15396	10	10	2148	270	113	242	60	88	354	83	10	10	1109	10	1809	10	79	680	10	21	10	39	10	98	32	185	368	10	413	114	10	10	10	102	1850	253	209	228	1
4068	4310	5118	1464	10	10	82	253	977	2219	579	10	4390	1116	423	158	730	10	10	10	240	1372	10	10	87	10	10	10	10	53	10	10	10	10	10	437	549	10	56	1323	10	10	10	107	10	782	10	213	1341	10	10	682	10	10	10	10	112	10	860	766	1
10	10	10	87	10	126	10	52	40	109	10	1083	139	10	62	265	80	10	431	2337	16	10	80	456	541	10	255	10	10	10	155	379	117	206	42	95	232	10	147	77	37	68	10	53	10	341	10	272	77	284	107	1096	10	10	10	42	155	1807	652	11	1
10	10	21	54	10	14	10	98	428	10	25	1129	43	655	10	211	29	176	504	814	13	71	10	674	10	1482	265	235	109	105	278	295	214	210	989	10	3656	10	12	10	10	318	294	21	12943	10	10	38	191	310	791	1292	10	10	10	33	10	143	10	214	1
10	342	31	122	10	59	10	61	152	38	10	1518	123	363	80	402	73	10	1448	374	10	138	49	509	10	174	308	100	124	10	157	237	10	359	4083	79	1521	10	37	186	10	25	302	10	12648	96	24	25	177	677	1077	983	150	152	10	31	36	232	318	268	1
331	1149	21	177	110	10	10	65	48	26	12	1416	265	829	10	501	10	10	957	91	10	300	13	142	67	43	66	10	255	10	318	16	10	2363	10512	28	10	180	22	10	10	58	149	71	955	127	89	78	363	886	2137	56	10	40	99	10	28	208	364	370	1
10	10	10	105	12	15	10	10	10	96	10	772	170	389	124	229	53	779	1176	41	40	188	48	796	69	1747	10	274	26	114	497	496	10	1461	2633	36	3664	10	10	579	10	10	147	10	27	289	10	52	28	167	2261	276	10	31	13	42	327	590	94	42	1
48	1309	359	174	275	2387	69	3997	342	3345	241	567	94	65	10	1602	255	99	27	10	65	16000	10	137	1297	1366	17	16	30	10	204	10	10	456	13	95	977	10	27	426	10	10	10	83	103	10	159	10	344	102	278	10	47	10	87	122	98	10	379	32	1
116	427	78	178	23	10	15	115	10	164	38	2238	259	2140	10	187	19	10	870	412	10	188	50	364	10	181	141	240	147	132	417	2511	10	487	118	196	1749	276	102	99	10	40	275	38	11282	424	10	21	10	154	584	45	20	25	60	137	21	316	323	234	1
10	278	10	158	10	240	10	10	1416	115	32	731	96	10	10	44	10	784	2268	222	25	228	10	123	10	9290	10	90	10	189	10	4526	10	158	349	222	279	10	46	10	182	10	109	57	1613	349	10	10	182	10	2003	127	59	40	54	10	10	1603	59	10	1
10	88	102	92	10	400	30	16000	165	2462	10	318	10	623	10	3850	25	10	209	619	79	133	10	120	10	117	112	10	106	10	62	118	10	10	10	10	170	10	159	10	84	10	158	17	84	88	10	10	10	736	485	353	10	10	130	106	10	125	208	231	1
