1217.5	10	3962.3	6235	5773.4	10358	637.7	6159.3	2417.3	14650	8242.6	16000	15880	2506	14632	536.6	1581	10	5070.2	1682.7	6042.3	101.8	160.9	1331.2	11918	42.4	294	2700.1	666.8	38.6	162.3	762	1064.7	610.9	2045.2	1719.7	2242.6	6104.3	10	405	1240.2	84.8	3664.6	10	2702.3	1384.2	1254.6	10	2108.3	1702.9	10	1044.5	42.4	8280.1	357.2	10	477.4	1301.8	2593.1	1145.7	755.5	719.5	12	569.5	8048.4	459.1	36.6	279.1	428.2	7422.8	8544.1	13.7	4360.5	2821.1	706.4	6661.5	4260.6	2962.4	169	10	588.5	1006.5	8701.6	317.9	241.7	1050.1	1586	10	34	450.8	208.4	2644.2	10	472.4	24	3639.6	169.8	10	3471.8	10	853.5	180.5	590.1	639.4	629.7	258.6	1849.2	2273.2	11762	14.9	1
1031	10	14207	3842	16000	10999	2198	10279	4224	13881	11743	16000	16000	968	6855	1493	1143	10	8880	4313	6123	123	48	3757	11523	62	260	890	1290	10	10	1044	2562	710	4226	1622	2527	16000	10	313	1668	105	2481	27	4727	5136	2955	10	3805	2965	10	1469	64	12104	536	10	856	3134	3078	3915	775	67	248	448	8494	451	47	2918	664	5760	12552	10	3168	5091	420	4827	4907	6143	67	1566	163	2724	8390	672	275	412	769	151	71	330	268	683	10	920	969	6133	892	27	3340	23	2229	11	315	1532	408	246	3342	1575	9313	10	1
531	10	2608	1149	2892	2006	349	87	671	5536	1826	6718	2423	1422	4344	334	1311	10	1925	4257	1222	67	109	68	2374	198	335	160	123	10	10	64	2489	168	488	456	569	9192	10	1148	714	10	715	429	123	672	12	10	607	2107	77	690	31	1257	137	108	243	548	766	110	537	409	10	234	904	197	173	239	1280	1247	2869	10	3180	470	108	2505	746	1338	10	145	364	340	3842	101	32	264	190	10	87	68	10	117	10	673	58	1209	54	10	694	87	10	10	424	123	146	123	534	1301	775	171	1
779	10	3163	8709	3582	3542	1386	9210	1152	13408	4540	12524	16000	1082	5995	457	2647	109	3730	3075	178	167	720	1306	13125	10	17	4608	300	151	693	554	3241	7586	1829	187	1278	16000	10	122	1185	10	1280	10	1868	223	4162	10	1099	7773	10	10	10	4307	200	320	10	3602	1966	1709	456	10	133	10	310	250	10	3781	489	8159	15265	20	3740	2392	308	7350	1769	1186	285	10	882	2314	7207	251	414	634	1884	10	10	10	10	2636	10	592	215	10	1034	10	7099	10	1601	1078	2805	689	488	395	1997	1692	1576	10	1
46	10	3042	7685	3817	2363	10	5513	1620	5817	6599	16000	16000	965	4731	338	1435	10	3096	1634	14998	189	180	164	9363	516	331	1752	966	514	10	635	1925	858	1802	1551	438	9773	10	591	682	347	1148	36	3801	1057	564	16	794	1223	130	604	57	2025	84	10	169	3810	344	2832	249	251	18	2003	10991	265	93	974	54	6738	7446	22	912	6236	10	1935	4122	1854	238	1143	1317	1029	6462	523	322	46	127	113	93	427	376	5183	10	666	10	612	479	45	6794	160	707	10	637	690	257	171	811	599	4020	10	1
1566	10	16000	4733	16000	8181	1170	13944	2062	14513	10242	16000	16000	772	11160	1009	1550	10	6034	5019	10934	134	10	1889	9061	345	345	713	1546	10	10	608	2326	2799	1917	1152	1735	12782	10	515	2304	10	2024	32	4285	1991	627	10	2092	1938	52	1116	63	7357	390	92	188	10	2416	3026	1114	77	243	558	8068	162	67	2032	449	9384	6991	113	1737	5571	429	4019	1950	4031	114	10	17	2490	9504	587	527	738	1756	10	31	187	17	769	10	1092	1754	5155	432	10	3886	125	1932	1043	597	888	263	150	1865	1088	5890	209	1
2173	10	11529	6602	13995	8134	669	10307	5246	16000	11019	16000	16000	3365	16000	948	2359	10	8132	4190	15538	90	34	2303	13229	167	278	4940	2548	10	10	617	2848	899	2640	2739	2977	4637	10	506	1717	10	2002	45	2477	1959	1465	10	3484	4024	10	2426	47	14592	630	10	1938	2167	2450	3278	1195	126	86	771	7187	370	10	387	872	10442	15520	10	1036	3397	389	4400	9279	4376	206	339	518	3070	11371	689	380	2090	2234	10	26	180	534	1376	10	2589	1471	5121	362	29	6100	10	853	33	637	1164	470	238	1574	1226	13809	10	1
1747	10	9779	4537	10182	5714	750	10423	4414	15170	7726	16000	16000	1583	16000	604	2495	10	7298	2870	3717	183	172	3216	7048	368	607	1811	922	38	10	566	2557	1075	2132	2742	4881	7677	10	475	1596	668	1461	1058	2961	807	1996	10	1400	4513	31	2119	62	13382	474	10	626	10	2288	3212	491	25	137	637	3506	421	371	263	905	5838	13114	10	1530	7811	644	6340	5022	4819	182	300	89	1254	11352	465	254	912	1683	51	292	488	491	2677	10	1323	982	5130	1164	10	5465	71	1144	256	469	867	344	133	3166	734	12874	124	1
1658	10	3268	10261	2578	2208	1589	3212	2039	16000	2977	11457	16000	896	1599	2203	1825	10	4916	11396	16000	62	115	1497	10111	109	419	3373	3305	350	10	451	9768	1339	1238	668	494	2128	10	453	3776	23	619	85	1288	1972	2177	10	2244	2002	37	2084	10	1763	915	10	5698	3446	1289	2065	1355	10	314	2280	382	271	73	183	35	263	16000	10	1348	3286	301	3958	2891	410	1040	10	1136	1273	15337	792	458	1827	417	10	83	566	493	547	10	1293	1226	745	554	52	3071	39	1263	551	202	230	507	128	1569	1366	1419	15	1
2096	10	6646	14075	6404	2008	2180	5560	1504	7968	6201	15486	16000	612	6528	1612	2685	10	5256	2571	4844	462	38	218	8282	10	131	1988	916	3025	27	1091	1712	1308	2557	1049	1478	11600	10	178	1728	706	1518	189	4342	845	1622	10	1157	2073	424	971	97	3311	757	248	159	6192	488	3537	422	10	374	10	1946	103	95	4958	417	4195	8154	120	716	4200	163	2809	3578	3099	353	178	2224	4229	6645	781	511	1163	267	10	130	411	17	737	10	2314	313	992	632	10	3765	187	2549	1041	902	897	469	222	2064	790	8633	10	1
