1.44	0.91	0.82	0.52	1.09	0.33	1.68	0.65	0.87	0.61	0.96	1.13	0.87	0.99	0.77	1.24	1.55	0.59	1.87	1.12	1
0.55	1.38	1.07	0.81	0.95	0.23	1.36	1.83	1.11	0.57	2.33	0.99	2.03	0.56	0.58	7.64	1.16	1.33	1.66	0.64	1
0.99	1.23	1.01	1.13	2.13	0.83	3.23	1.11	1	0.89	1.6	0.59	1.99	1.05	1	1.53	4.03	0.67	1.3	0.84	1
2.65	1.12	0.98	1.44	0.54	0.56	1.98	3.11	0.6	1.61	2.91	1.43	1.25	0.25	2.25	1.17	0.33	0.83	0.89	2.36	2
1.18	0.64	0.92	1.82	0.57	0.55	0.9	0.55	6.07	1.7	1.66	1.19	0.45	0.27	1.12	0.89	0.55	0.52	2.7	1.12	2
1.27	0.51	0.89	2.83	0.45	0.77	1.02	0.5	1.69	1.31	1.38	0.88	0.39	0.27	0.96	0.83	0.64	0.43	2.16	1.64	2
1.06	1.28	1.07	0.7	0.84	0.37	1.08	2.83	0.83	1.58	1.74	1.04	2.28	0.39	0.94	0.91	0.9	0.32	1.13	1.5	2
1.82	1.16	0.9	2.07	0.82	0.4	1.14	0.87	27.26	2.17	2.81	0.44	1.56	0.36	1.41	0.55	0.76	0.57	2.17	3.75	2
1.39	0.77	1.11	1.77	0.82	0.5	1.14	1.23	4.15	0.66	0.74	1.22	0.56	0.98	1.6	2.47	0.69	1.23	1.66	1.17	2
1.36	0.79	1.86	3.33	0.67	0.44	1.28	0.72	14.64	1.94	2.31	1.33	0.65	0.35	1.5	1.08	1.23	0.7	2.81	0.94	2
1.64	0.5	1.77	8.19	0.52	0.37	0.7	0.78	8.63	3.77	2.7	1.01	0.38	0.39	1.76	0.32	0.69	0.63	4.41	2.11	2
2.12	1.14	1.43	4.68	0.43	0.59	1.08	0.92	24.93	1.85	4.53	0.9	1.26	0.4	1.25	0.79	0.8	0.73	2.8	1.32	2
1.58	1.2	1.4	9.96	0.59	0.33	1.5	0.48	17.48	2.37	2.08	0.84	0.89	0.42	1.5	1.24	0.81	0.61	2.48	1.19	2
1.45	1.27	1.69	2	0.9	0.37	1.01	0.84	9.53	2.45	2.24	1.26	1.42	0.66	1.54	1.57	1.64	0.86	2.18	1.41	2
1.45	1.32	2.09	5.55	0.48	0.49	2.08	0.62	47.82	2.14	4.43	0.94	1.35	0.3	1.54	0.58	0.75	0.81	2.86	1.55	2
1.53	0.99	1.09	2.18	0.38	0.56	1.11	0.98	7.19	1.39	2.36	1.76	1.64	0.39	2.23	2.66	1.06	1.17	0.94	1.22	2
1.92	0.62	2.55	3.74	0.39	0.49	0.82	0.94	2.26	2.15	1.97	2.58	0.5	0.31	2.9	0.57	0.63	0.46	2.09	2.39	2
1.87	0.75	2.81	4.47	0.32	0.36	1.14	0.71	61.39	1.34	2.19	1.12	0.66	0.26	2.97	0.48	0.5	0.55	2.05	3.57	2
2.07	0.56	1.94	1.89	0.49	0.42	1.08	1.11	7.23	2	2.24	1.44	0.47	0.26	2.33	0.67	0.88	0.62	1.78	1.95	2
1.93	0.85	1.88	3.44	0.85	0.37	1.01	0.53	14.36	2.03	1.5	1.39	0.61	0.28	1.71	1.09	0.56	0.69	3.43	2.86	2
1.87	0.65	1.52	2.66	0.72	0.51	0.99	0.74	3.72	2.95	1.96	1.04	0.52	0.31	1.14	0.83	0.82	0.81	1.96	2.03	2
1.64	0.91	2.08	4.38	1.02	0.34	0.79	0.87	4.15	2.52	5.12	1.91	1.99	0.34	2.6	1.81	0.75	0.88	2.13	2.8	2
1.05	1.37	1.34	1.21	1.37	1.41	1.12	1.04	0.93	1.09	1.47	0.96	1.7	2.18	1.18	0.74	1.4	0.93	0.96	1.13	3
1.66	0.59	1.08	1.37	0.88	0.93	0.88	0.68	0.95	1.17	0.96	0.95	0.4	1.12	0.83	1.42	0.93	0.87	1.66	1.28	3
0.67	1.17	1.13	1.92	0.89	0.97	0.88	0.85	0.87	1.2	1.13	1.04	1.35	0.67	1.25	1.26	1.13	1.51	1.25	1.81	3
0.79	1.18	1.06	1.29	0.97	0.65	0.96	1.19	1.18	0.96	0.79	0.72	1.22	1.06	0.89	0.8	1.24	0.82	0.99	0.94	3
1.16	0.8	0.9	0.49	1.22	0.84	1.03	1.29	1.11	1.04	0.53	0.89	0.66	0.74	0.98	0.99	0.61	0.78	1.24	0.78	3
1.02	1.26	0.69	0.78	0.88	1.17	1.01	1.14	0.99	0.82	0.92	1.15	1.27	0.94	1.01	0.81	1.31	0.88	0.83	0.69	3
0.92	0.89	0.93	0.64	0.9	1.24	1.16	0.96	4.15	0.8	1.63	1.44	1.07	0.82	0.93	1.17	0.69	1.46	0.82	0.75	3
1.59	2.15	0.69	2.6	0.51	0.75	2.01	3.97	0.76	1.01	1.29	0.86	2.04	0.57	0.76	0.78	0.7	0.9	1.66	1.53	4
1.09	1.65	1.28	0.44	1.31	0.3	1.77	0.52	16.5	0.92	1.36	0.58	2.85	2.25	0.98	0.66	2.07	0.92	0.8	1.61	4
1.14	1.16	0.8	1.34	0.8	0.25	2.18	2.79	1.05	1.11	1.37	0.63	2.2	0.59	1.08	0.49	0.95	0.57	1.97	0.94	4
0.74	1.36	0.93	0.63	2.19	0.75	2.87	4.25	0.78	1.96	3.21	0.7	1.87	0.57	1.06	0.72	1.03	1.2	2.47	0.87	4
1.08	1.3	0.7	0.54	1.21	1.18	1.71	1.4	1.12	0.77	1.12	0.66	2.08	0.75	0.82	0.7	2.08	0.94	0.99	0.93	4
0.72	1.66	0.69	1.46	1.26	0.9	4.24	3.96	0.78	2.65	1.5	0.84	1.44	0.67	0.9	0.88	1.44	2.16	1.63	0.74	4
0.84	1.59	0.82	0.52	0.58	1.4	1.72	9.91	0.84	1.86	1.09	0.8	1.6	0.38	0.98	0.59	0.9	1.04	0.98	0.8	4
0.92	1.39	0.82	0.75	1.09	0.54	3.37	4.42	1.17	1.02	1.32	0.57	1.93	0.79	0.65	0.46	2.38	0.93	1.5	0.63	4
0.88	1.32	0.69	0.45	0.94	0.26	3.11	7.06	0.94	1.31	1.33	2.66	4.03	0.45	1.15	0.48	1.78	1.49	1.22	0.52	4
0.63	1.73	0.47	1.2	1.16	0.29	1.75	3.47	1.23	2.36	1.42	0.82	2.46	0.35	1.26	0.49	1.77	2.55	0.9	1.05	4
1.12	2.93	0.87	0.48	1.55	0.32	3.64	1.45	0.94	2	1.42	0.75	1.8	0.42	1.07	0.57	3.96	1.27	1.23	0.95	4
1.15	1.88	0.97	1.25	1.39	0.71	1.33	1.93	1.27	0.8	2.06	0.54	1.44	2.07	0.65	0.64	1.01	1.19	1.32	0.78	4
1.31	2.28	0.83	1.46	2.36	0.33	1.71	0.92	0.95	0.9	1.31	0.64	4.14	0.4	1.23	0.57	1.27	1.26	1.5	0.67	4
