158	186	790	10	105	342	3818	144	16	148	261	657	240	247	10	529	16	10	479	426	10	10	65	10	71	580	10	10	794	196	10	101	92	75	315	1107	975	223	17	176	10	1118	40	148	33	79	151	132	165	10	10	785	10	66	10	75	10	78	10	17	390	493	10	10	2780	189	88	319	156	1
151	245	6675	365	10	99	106	101	10	10	10	10	10	977	10	630	10	10	493	10	10	63	276	10	10	424	10	10	6217	10	10	10	106	10	21	7171	2049	10	10	309	10	1251	59	35	134	10	224	127	337	311	894	132	10	10	10	899	10	878	63	16	771	70	10	231	1626	110	33	92	66	1
10	1160	7837	10	766	639	167	403	163	116	10	222	10	18	34	826	10	10	2788	10	10	10	211	377	10	184	16	73	909	130	165	598	117	309	351	1491	1018	10	10	202	10	6889	64	209	31	381	10	583	119	10	1333	10	10	10	10	506	40	193	10	20	1228	3180	25	336	2799	755	421	92	458	1
169	47	7631	322	147	49	784	177	10	10	10	366	93	598	67	1280	10	10	132	678	10	10	155	58	10	438	10	93	5170	10	10	10	107	47	265	6023	1474	42	10	38	10	2324	10	55	73	167	113	172	774	93	1252	10	75	10	10	270	10	1020	10	10	135	422	99	76	797	10	36	143	10	1
10	226	3739	152	10	235	2068	10	10	10	10	34	27	10	10	36	10	10	292	10	10	10	54	10	712	10	10	10	10	10	13	10	10	10	10	385	1666	10	10	10	34	728	155	52	10	10	162	123	219	10	10	10	10	68	10	164	10	406	10	10	10	600	10	10	10	10	34	10	107	1
10	121	5969	533	38	131	10	34	10	155	10	275	299	73	164	1570	10	10	242	435	10	10	10	10	10	598	10	10	133	10	10	10	150	10	502	284	10	10	10	254	10	2365	108	138	171	10	213	91	170	32	59	389	386	16	10	140	30	3758	10	10	157	142	36	74	18	10	98	296	47	1
54	655	2608	10	76	153	751	112	10	10	10	24	19	10	75	93	10	10	230	315	10	12	10	10	10	160	39	237	1319	10	32	61	111	10	186	1128	1635	10	10	196	10	2001	76	91	57	160	10	178	175	100	15	285	10	10	10	30	76	10	10	28	87	463	10	26	319	123	86	10	10	1
10	1509	13887	10	10	925	49	627	10	418	10	10	10	503	10	3346	109	10	581	10	326	10	113	10	46	10	10	173	8152	297	116	3136	113	10	134	5937	15174	56	10	28	10	7468	70	56	10	315	63	138	10	10	10	1421	10	31	10	159	173	10	10	655	319	8301	10	790	960	652	301	116	414	1
10	32	1933	51	10	108	10	76	10	10	10	217	261	53	80	547	10	10	362	353	10	17	58	10	26	288	37	21	204	10	78	71	112	147	10	183	181	51	10	197	10	92	33	10	62	131	16	147	119	10	10	439	188	40	10	49	28	423	10	10	108	176	233	55	10	10	62	377	58	1
10	487	9390	10	10	226	655	34	10	10	10	21	102	2109	10	16	10	10	798	10	10	10	13	10	51	255	63	10	232	10	88	10	101	10	10	1003	5791	10	10	10	10	1545	101	108	10	636	274	209	29	68	10	1288	10	44	10	199	10	382	10	10	45	1261	10	10	46	51	131	10	70	1
10	13885	696	10	1874	6026	10	1213	4429	10	10	10	10	1105	10	56	13	10	6434	10	10	10	178	6091	10	701	401	1260	10	10	1330	1075	243	245	10	94	10	236	105	315	99	3642	10	647	10	1084	10	268	10	1368	133	10	1287	10	4086	96	304	10	566	243	10	590	49	620	933	105	1292	308	360	2
10	9249	240	10	2917	13450	1671	1098	4578	10	262	10	10	10	502	453	10	10	13881	10	10	10	355	1917	1087	639	49	775	10	10	1518	1961	420	753	218	32	10	10	131	10	366	3348	573	3671	10	3540	114	3321	551	1354	284	10	4228	163	1464	398	568	27	2939	223	5676	9145	54	1196	16000	8527	1709	1027	11789	2
10	9141	96	10	3865	11976	187	654	1593	10	10	10	10	10	144	240	10	10	14671	10	10	10	1251	914	856	10	250	52	10	10	1208	351	231	529	10	341	10	10	72	10	120	7047	255	1631	10	7956	1265	3682	101	746	664	10	2685	62	10	413	399	10	3225	707	15008	7311	10	48	7403	81	2262	10	12250	2
10	16000	1983	10	3371	6075	112	2025	3743	10	10	10	10	10	70	277	10	10	3040	10	10	10	460	8077	141	879	454	596	10	10	749	5815	259	1009	29	100	10	312	171	10	183	3135	360	188	224	1865	702	242	200	773	11	277	271	53	5089	82	212	10	732	259	82	1617	10	484	3442	10	1694	962	1623	2
99	8411	552	10	2094	4668	10	3122	1957	10	10	10	24	10	10	701	10	10	9350	10	10	10	448	7166	1135	1407	589	289	10	10	1201	418	10	1115	64	166	59	304	69	10	91	483	64	835	10	2946	10	1276	646	500	438	10	788	230	1092	284	223	10	584	141	8512	1603	10	649	10	862	2426	121	4378	2
10	12971	291	10	1682	14974	3361	1478	3896	10	10	10	40	10	10	3160	10	10	11369	10	10	10	10	3514	597	553	291	615	10	10	287	1718	10	305	58	185	10	10	10	10	10	546	10	866	10	2778	790	4752	1445	10	564	2257	1707	171	10	138	10	10	509	670	3754	15269	10	345	2494	2254	757	36	5986	2
72	8098	207	10	1820	4861	267	5167	3445	10	10	207	10	10	10	859	10	10	10080	10	10	384	369	2198	328	2968	420	364	10	10	256	2487	10	447	15	105	10	191	213	10	56	1246	186	8721	74	2536	10	1868	1985	20	306	2473	1453	375	488	211	229	10	10	103	8541	1922	10	373	7091	148	627	360	1370	2
20	831	674	64	1346	20	6722	58	2787	212	3987	1882	78	378	251	3301	64	10	1354	117	10	842	168	10	139	9520	500	605	10	10	10	388	133	48	528	91	10	289	10	10	66	143	10	2720	10	10	1763	674	941	10	10	14034	627	836	10	10	10	10	346	10	10	2840	85	52	973	159	44	526	76	2
10	16000	450	10	7873	16000	10	2604	9229	10	10	10	10	10	10	482	10	10	15578	10	10	10	862	6093	135	1546	455	1144	97	10	1937	3342	347	819	10	10	10	206	265	1074	151	4107	732	3250	727	6196	10	1584	10	1448	341	10	3858	43	938	141	151	10	792	564	1785	10836	10	1351	8779	580	1481	396	4449	2
10	5705	47	10	3543	5141	10	578	3186	10	10	10	10	10	437	10	10	10	13193	10	10	10	352	2650	742	159	10	573	244	10	836	451	376	493	10	155	10	267	343	568	272	1254	211	1626	65	9639	10	620	10	728	70	10	1649	10	1696	145	230	10	1518	150	1804	1823	23	752	1814	249	2317	51	6735	2
732	3771	41	179	451	180	13860	10	1669	482	974	1460	662	14127	893	11445	10	161	3050	1763	96	476	59	135	106	1454	240	10	10	1179	10	10	10	10	850	100	21	777	38	10	10	10	10	318	9324	3402	1754	692	1647	10	13	3027	10	220	10	13	10	89	10	10	10	439	103	17	9332	55	21	10	51	3
419	36	88	1347	28	160	16000	74	1843	546	4559	1456	812	1561	457	16000	7676	180	39	2698	719	2032	66	15	10	7811	52	10	10	1035	28	34	10	30	2446	60	10	646	81	10	11	222	10	557	4760	656	3969	81	832	10	528	11378	85	1286	43	69	10	11	10	10	62	634	351	10	10	10	117	10	71	3
517	77	79	1609	2296	177	11480	10	10	375	3816	1139	557	15423	421	16000	362	77	97	742	196	210	10	10	71	5851	10	10	10	492	21	10	10	34	1143	79	10	894	10	10	86	12	295	108	591	10	186	69	450	10	854	1407	69	1206	10	51	10	131	10	10	10	241	135	10	10	10	34	10	10	3
529	9431	119	2397	31	110	16000	198	4074	1243	3602	3011	787	11393	631	16000	203	10	3823	2038	70	2097	34	1097	10	11372	74	13	10	154	10	16	10	103	463	34	10	1372	10	10	10	210	54	10	150	180	5072	353	15547	12	173	9845	1164	749	10	109	10	10	10	10	10	231	551	10	1177	10	50	10	32	3
411	37	10	1679	99	43	16000	10	10	920	1093	1888	686	11918	713	1970	1794	70	866	1757	305	1077	10	10	19	8156	10	10	10	677	10	63	10	10	1695	14	10	787	10	10	10	10	10	24	363	983	2226	93	6259	10	10	9558	829	946	10	13	10	10	10	10	10	231	568	10	464	10	23	10	323	3
253	177	31	1192	246	10	10089	191	1652	524	2658	1846	150	713	258	3739	38	105	189	167	268	1980	122	10	10	4848	553	86	10	958	10	40	10	10	263	103	10	10	10	304	10	110	352	6287	3339	28	1767	28	7665	10	10	2694	229	359	10	148	10	10	10	10	50	10	198	10	10	10	10	10	64	3
191	575	68	3359	10	29	7458	10	10	615	3400	1485	612	2164	330	5221	2466	10	195	1602	461	638	10	10	10	7149	30	10	10	181	10	10	32	10	1438	26	10	629	10	10	10	55	25	7185	176	525	1515	14	2230	10	141	5187	10	693	10	82	15	10	10	10	10	152	321	78	84	10	44	10	12	3
201	4056	399	2654	242	69	16000	10	2435	222	2464	544	644	1370	378	14425	30	307	2645	1161	17	167	34	26	53	6911	115	165	10	982	49	346	17	10	916	36	24	321	10	10	10	334	71	440	240	2462	1047	73	6876	10	86	2472	417	282	555	53	10	53	10	30	21	417	105	111	7531	10	82	10	2306	3
